address,address2,district,city_id,postal_code,phone,last_update
47,MySakila Drive,,Alberta,300,,2022-02-15 09:45:30+00
28,MySQL Boulevard,,QLD,576,,2022-02-15 09:45:30+00
23,Workhaven Lane,,Alberta,300,,2022-02-15 09:45:30+00
1411,Lillydale Drive,,QLD,576,,2022-02-15 09:45:30+00
1913,Hanoi Way,,Nagasaki,463,35200,2022-02-15 09:45:30+00
1121,Loja Avenue,,California,449,17886,2022-02-15 09:45:30+00
692,Joliet Street,,Attika,38,83579,2022-02-15 09:45:30+00
1566,Inegl Manor,,Mandalay,349,53561,2022-02-15 09:45:30+00
53,Idfu Parkway,,Nantou,361,42399,2022-02-15 09:45:30+00
1795,Santiago de Compostela Way,,Texas,295,18743,2022-02-15 09:45:30+00
900,Santiago de Compostela Parkway,,Central Serbia,280,93896,2022-02-15 09:45:30+00
478,Joliet Way,,Hamilton,200,77948,2022-02-15 09:45:30+00
613,Korolev Drive,,Masqat,329,45844,2022-02-15 09:45:30+00
1531,Sal Drive,,Esfahan,162,53628,2022-02-15 09:45:30+00
1542,Tarlac Parkway,,Kanagawa,440,1027,2022-02-15 09:45:30+00
808,Bhopal Manor,,Haryana,582,10672,2022-02-15 09:45:30+00
270,Amroha Parkway,,Osmaniye,384,29610,2022-02-15 09:45:30+00
770,Bydgoszcz Avenue,,California,120,16266,2022-02-15 09:45:30+00
419,Iligan Lane,,Madhya Pradesh,76,72878,2022-02-15 09:45:30+00
360,Toulouse Parkway,,England,495,54308,2022-02-15 09:45:30+00
270,Toulon Boulevard,,Kalmykia,156,81766,2022-02-15 09:45:30+00
320,Brest Avenue,,Kaduna,252,43331,2022-02-15 09:45:30+00
1417,Lancaster Avenue,,Northern Cape,267,72192,2022-02-15 09:45:30+00
1688,Okara Way,,Nothwest Border Prov,327,21954,2022-02-15 09:45:30+00
262,A Corua (La Corua) Parkway,,Dhaka,525,34418,2022-02-15 09:45:30+00
28,Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,2022-02-15 09:45:30+00
1780,Hino Boulevard,,Liepaja,303,7716,2022-02-15 09:45:30+00
96,Tafuna Way,,Crdoba,128,99865,2022-02-15 09:45:30+00
934,San Felipe de Puerto Plata Street,,Sind,472,99780,2022-02-15 09:45:30+00
18,Duisburg Boulevard,,,121,58327,2022-02-15 09:45:30+00
217,Botshabelo Place,,Southern Mindanao,138,49521,2022-02-15 09:45:30+00
1425,Shikarpur Manor,,Bihar,346,65599,2022-02-15 09:45:30+00
786,Aurora Avenue,,Yamaguchi,474,65750,2022-02-15 09:45:30+00
1668,Anpolis Street,,Taipei,316,50199,2022-02-15 09:45:30+00
33,Gorontalo Way,,West Bengali,257,30348,2022-02-15 09:45:30+00
176,Mandaluyong Place,,Uttar Pradesh,239,65213,2022-02-15 09:45:30+00
127,Purnea (Purnia) Manor,,Piemonte,17,79388,2022-02-15 09:45:30+00
61,Tama Street,,Okayama,284,94065,2022-02-15 09:45:30+00
391,Callao Drive,,Midi-Pyrnes,544,34021,2022-02-15 09:45:30+00
334,Munger (Monghyr) Lane,,Markazi,31,38145,2022-02-15 09:45:30+00
1440,Fukuyama Loop,,Henan,362,47929,2022-02-15 09:45:30+00
269,Cam Ranh Parkway,,Chisinau,115,34689,2022-02-15 09:45:30+00
306,Antofagasta Place,,Esprito Santo,569,3989,2022-02-15 09:45:30+00
671,Graz Street,,Oriental,353,94399,2022-02-15 09:45:30+00
42,Brindisi Place,,Yerevan,586,16744,2022-02-15 09:45:30+00
1632,Bislig Avenue,,Nonthaburi,394,61117,2022-02-15 09:45:30+00
1447,Imus Way,,Tahiti,167,48942,2022-02-15 09:45:30+00
1998,Halifax Drive,,Lipetsk,308,76022,2022-02-15 09:45:30+00
1718,Valencia Street,,Antofagasta,27,37359,2022-02-15 09:45:30+00
